Myth Cloth Original Name,Base Name,Price (JPY),Price (JPY) Tax,Announcement (JPY),Preorder (JPY),Release (JPY),Distributor (MXN),Price (MXN),Preorder (MXN),Release (MXN),Link,Distribution,LineUp,Series,Group,Metal,OCE,Revival,Restock,PlainCloth,Broken,Golden,Gold,HK,Manga,Surplice,Set,Static,Anniversary,Remarks,Events,tags,Official Images,Other Images
Phoenix Ikki ~Initial Bronze Cloth~ EX,Phoenix Ikki,,,,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,https://imagizer.imageshack.com/img924/4647/beyAuJ.jpg,
Andromeda Shun ~Initial Bronze Cloth~ EX,Andromeda Shun,,,,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,https://imagizer.imageshack.com/img924/4647/beyAuJ.jpg,
Cygnus Hyoga ~Initial Bronze Cloth~ EX,Cygnus Hyoga,,,,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,https://imagizer.imageshack.com/img924/4647/beyAuJ.jpg,
Dragon Shiryu ~Initial Bronze Cloth~ EX,Dragon Shiryu,,,,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,https://imagizer.imageshack.com/img924/4647/beyAuJ.jpg,
Phoenix Ikki (God Cloth) EX,Phoenix Ikki,,,,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,https://imagizer.imageshack.com/img924/4647/beyAuJ.jpg,
Cygnus Hyoga (God Cloth) EX,Cygnus Hyoga,,,,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,https://imagizer.imageshack.com/img924/4647/beyAuJ.jpg,
Dragon Shiryu (God Cloth) EX,Dragon Shiryu,,,,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,https://imagizer.imageshack.com/img924/4647/beyAuJ.jpg,
Siren Sorrento <Ark Scale> EX,Siren Sorrento <Ark Scale>,,,11/16/2023,,,,,,,,,Myth Cloth EX,Saint Seiya,Poseidon Scale,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"The hidden eight sense project, TM 2023",,,"https://imagizer.imageshack.com/img924/8323/5gHVVo.jpg,https://imagizer.imageshack.com/img923/2980/8Qfvaa.jpg,https://imagizer.imageshack.com/img922/5085/XJ3s7C.jpg,https://imagizer.imageshack.com/img924/2681/dC5bqF.jpg",
Goddess Athena EX OCE,Goddess Athena,"¥23,000","¥25,300",11/15/2024,8/18/2026,11/13/2026,,,,,https://tamashiiweb.com/item/16060,Tamashii Nations,Myth Cloth EX,Saint Seiya,God,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Released as a commemorative item for the TAMASHII NATIONS 2026 annual festival, held from November 13 to 15, 2026, Athena joins the SAINT CLOTH MYTH EX lineup in a stunning ORIGINAL COLOR EDITION. Featuring a premium plated finish, this special release presents the goddess Athena in an elegant new interpretation.",8/6/2026:Athena Original Color Edition has been officially announced as the commemorative figurine for TAMASHII NATIONS 2026.,,"https://imagizer.imageshack.com/img922/3905/4gSfvY.jpg,https://imagizer.imageshack.com/img924/695/7qLKKm.png,https://imagizer.imageshack.com/img923/2117/iJ8QkE.png,https://imagizer.imageshack.com/img921/6017/QNbyPB.jpg,https://imagizer.imageshack.com/img923/3306/y2kR3n.jpg,https://imagizer.imageshack.com/img924/1423/yl7Xib.jpg,https://imagizer.imageshack.com/img924/9901/nIrJLc.jpg,https://imagizer.imageshack.com/img922/203/foZjuV.jpg,https://imagizer.imageshack.com/img921/2144/EjBxwa.jpg,https://imagizer.imageshack.com/img921/3918/9Jmihs.jpg,https://imagizer.imageshack.com/img922/2967/35Gvgi.png,https://imagizer.imageshack.com/img921/8688/p2KYzT.jpg",
Leo Aiolia EX <Revival> (Restock2),Leo Aiolia,"¥16,000","¥17,600",7/27/2026,8/8/2026,8/8/2026,DAM,"$2,900",8/17/2026,,https://tamashiiweb.com/item/16056,Other Limited Edition,Myth Cloth EX,Saint Seiya,Gold Saint,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Leo Aiolia, the Gold Saint of Leo, returns to the SAINT CLOTH MYTH EX series! His Cloth can be fully reassembled into its iconic Object Mode. This set includes four interchangeable facial expressions, including one portraying Aiolia while under the Pope's mind control. The packaging retains its original sleeve design.

Product contents are identical to the version originally released in February 2025.","8/4/2026:MX:Mexico has confirmed that this figurine will be distributed soon. Pricing and the preorder date will be announced shortly.|8/5/2026:MX:Animexico has confirmed that this figurine will be available for purchase on Tamashii.mx starting August 17, 2026.",,"https://imagizer.imageshack.com/img924/6789/nH1G7o.jpg,https://imagizer.imageshack.com/img923/4679/jj5I2b.jpg,https://imagizer.imageshack.com/img923/810/SOCznY.jpg,https://imagizer.imageshack.com/img923/8937/Hp3kRo.jpg,https://imagizer.imageshack.com/img924/2776/zeZX5O.jpg,https://imagizer.imageshack.com/img923/1374/XGnwEt.jpg,https://imagizer.imageshack.com/img924/3564/Rk7JsG.jpg,https://imagizer.imageshack.com/img922/6448/OX6uBx.jpg,https://imagizer.imageshack.com/img922/2162/5aCA0x.jpg,https://imagizer.imageshack.com/img923/9039/605CcZ.jpg",
Virgo Shaka EX <Revival> (Restock),Virgo Shaka,"¥16,000","¥17,600",7/27/2026,8/8/2026,8/8/2026,DAM,"$2,900",8/17/2026,,https://tamashiiweb.com/item/16054,Other Limited Edition,Myth Cloth EX,Saint Seiya,Gold Saint,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Saint Cloth Myth EX Virgo Shaka Revival version returns once again!
Known as ""the man closest to God,"" Virgo Shaka makes his triumphant return to the SAINT CLOTH MYTH EX series. The Cloth can be fully reassembled into its Object Mode and comes as a comprehensive set featuring multiple interchangeable facial expressions, wrist parts, a cape, prayer beads, and more.

As with the original release from September 2017, this Revival Version also includes an illustrated guide showing how to disassemble and reassemble the Saint Cloth.","8/4/2026:MX:Mexico has confirmed that this figurine will be distributed soon. Pricing and the preorder date will be announced shortly.|8/5/2026:MX:Animexico has confirmed that this figurine will be available for purchase on Tamashii.mx starting August 17, 2026.",,"https://imagizer.imageshack.com/img922/4521/PsFCGh.jpg,https://imagizer.imageshack.com/img924/7540/KUZfzt.jpg,https://imagizer.imageshack.com/img923/4200/WHL38G.jpg,https://imagizer.imageshack.com/img922/6178/oU8goJ.jpg,https://imagizer.imageshack.com/img924/463/bfFOyh.jpg,https://imagizer.imageshack.com/img924/5699/HZCXhn.jpg,https://imagizer.imageshack.com/img922/1078/x7UNS0.jpg,https://imagizer.imageshack.com/img923/5236/8N5kyw.jpg,https://imagizer.imageshack.com/img924/1517/zdwxeb.jpg",
Pegasus Seiya Saint Cloth Series,Pegasus Seiya,,,7/8/2026,,,,,,,,,Saint Cloth Series,Saint Seiya,Bronze Saint V1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40|SAINT_SEIYA,The SAINT CLOTH Series is making its long-awaited return! Pegasus Cloth has officially been confirmed for release (Re-release),,,https://imagizer.imageshack.com/img924/700/gOFB0I.jpg,
Saint Cloth Myth EX Stage (Restock),Saint Cloth Myth EX Stage,"¥2,000","¥2,200",6/24/2026,7/1/2026,12/2026,,,,,https://tamashiiweb.com/item/15926,Stores,Myth Cloth EX,Saint Seiya,Accessories,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,A pedestal exclusively for SAINT CLOTH MYTH EX (Re-release),,,"https://imagizer.imageshack.com/img924/4413/Pl86x4.jpg,https://imagizer.imageshack.com/img923/3889/men50l.jpg,https://imagizer.imageshack.com/img922/1966/dJn1RV.jpg,https://imagizer.imageshack.com/img924/5373/KJ7I3K.jpg",
Pegasus Seiya ~Initial Bronze Cloth~ <Revival> (Restock),Pegasus Seiya,"¥12,000","¥13,200",6/24/2026,7/1/2026,12/2026,,,,,https://tamashiiweb.com/item/15927,Stores,Myth Cloth,Saint Seiya,Bronze Saint V1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Re-release,,,"https://imagizer.imageshack.com/img922/2259/zcWzFs.jpg,https://imagizer.imageshack.com/img924/851/yEAdpB.jpg,https://imagizer.imageshack.com/img922/9234/OkyBH2.jpg,https://imagizer.imageshack.com/img924/8981/jvskfP.jpg,https://imagizer.imageshack.com/img924/263/cGinc7.jpg,https://imagizer.imageshack.com/img923/4023/a7gmEZ.jpg,https://imagizer.imageshack.com/img922/8172/3ShALl.jpg,https://imagizer.imageshack.com/img922/4757/ssOGsU.jpg,https://imagizer.imageshack.com/img924/5368/Mfeh2c.jpg",
Alpha Dubhe Siegfried EX ~40th Anniversary Ver.~,Alpha Dubhe Siegfried,"¥18,000","¥19,800",11/13/2025,6/12/2026,11/2026,,,,,https://tamashiiweb.com/item/15943,Tamashii Web Shop,Myth Cloth EX,Saint Seiya,God Robe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40|SAINT_SEIYA,Shown for the first time in Tamashii 2025,"5/12/2026:Tamashii Nations announced via Instagram that Saint Cloth Myth EX Alpha Dubhe Siegfried and Saint Cloth Myth EX Beta Merak Hagen have been confirmed as 40th Anniversary Ver. releases for Saint Seiya.|6/10/2026:Official images were released and the preorderdate for the figurine was announced.|6/24/2026:Specialized magazines like Saint Cloth Mythology announced the release of Siegfried, emphasizing the new metal body, the newly sculpted face, and the commemorative stand.",,"https://imagizer.imageshack.com/img921/3895/szj0Gw.jpg,https://imagizer.imageshack.com/img924/4436/4Hslpd.jpg,https://imagizer.imageshack.com/img923/5661/GqXpgT.jpg,https://imagizer.imageshack.com/img921/2149/BaysuN.jpg,https://imagizer.imageshack.com/img923/3406/eHPVT6.jpg,https://imagizer.imageshack.com/img924/1429/S1fMcp.jpg,https://imagizer.imageshack.com/img924/7346/HiVOw8.jpg,https://imagizer.imageshack.com/img921/3223/FqZ3IQ.jpg",
Beta Merak Hagen EX ~40th Anniversary Ver.~,Beta Merak Hagen,"¥18,000","¥19,800",11/13/2025,7/24/2026,12/2026,,,,,https://tamashiiweb.com/item/16002,Tamashii Web Shop,Myth Cloth EX,Saint Seiya,God Robe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40|SAINT_SEIYA,"First unveiled at Tamashii Nations 2025, this release celebrates the 40th anniversary of Saint Seiya.

To commemorate the completion of the God Warriors lineup in the Saint Cloth Myth EX series from the anime-original Asgard arc, Beta Star Merak Hagen is finally joining the lineup as an official figure.","5/12/2026:Tamashii Nations announced via Instagram that Saint Cloth Myth EX Alpha Dubhe Siegfried and Saint Cloth Myth EX Beta Merak Hagen have been confirmed as 40th Anniversary Ver. releases for Saint Seiya.|6/24/2026:Specialized magazines like Saint Cloth Mythology announced the release of Hagen, highlighting the new metal body, the new smirking sculpted face, and the commemorative stand.|7/22/2026:Official images were released and the preorderdate for the figurine was announced.",,"https://imagizer.imageshack.com/img923/2248/ibzNet.jpg,https://imagizer.imageshack.com/img921/2149/JgvP7i.jpg,https://imagizer.imageshack.com/img922/6931/ho11tm.jpg,https://imagizer.imageshack.com/img923/1063/umrclS.jpg,https://imagizer.imageshack.com/img924/1252/DZhGiI.jpg,https://imagizer.imageshack.com/img924/1309/fXbnHk.jpg,https://imagizer.imageshack.com/img923/9887/vqSH6Y.jpg,https://imagizer.imageshack.com/img922/1848/kgBa2e.jpg,https://imagizer.imageshack.com/img922/7796/VE9Agk.jpg",
Phoenix Ikki ~Final Bronze Cloth~ OCE EX,Phoenix Ikki,,,11/13/2025,,,,,,,,,Myth Cloth EX,Saint Seiya,Bronze Saint V3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Shown for the first time in Tamashii 2025,,,"https://imagizer.imageshack.com/img922/7686/M5LQO9.jpg,https://imagizer.imageshack.com/img924/7034/Vf3BoG.jpg,https://imagizer.imageshack.com/img923/6422/kSsfLz.jpg",
